Name,ODS_Code,Status,Address,City,Postcode,Country,Role
CFES LTD,A2I7B,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COTSWOLD SUPPORTED LIVING,A2I9R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
OXFORD MENOPAUSE,A2K3F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CONDUENT PUBLIC SECTOR UK LTD,A2N0N,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
OPEN DOOR NORTH EAST,A2Q8L,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE LONDON CITY CARE AND SUPPORT SERVICES LIMITED,A2Q8W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
JADU CREATIVE LIMITED,A2S1G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE DOCTOR'S METHOD,A2W6E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CARE DEVELOPMENT EAST,A2Y0E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SOAR COMMUNITY,A3A0Q,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HUMBL HEALTH,A3H1B,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
POCKETALK B.V.,A3H2J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
TRIVENI CARE LIMITED,A3L3O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MONTROSE HEALTH GROUP LIMITED,A3Q7P,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ELMORE COMMUNITY SERVICES,A3R4F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BRIGHTFROG,A3W6K,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MELIA CARE SERVICES LIMITED,A3X3L,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
GRACE HEALTH LTD,A4D4R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PURPLE HEALTHCARE SOLUTIONS LTD,A4D8D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
KIRSOP-TAYLOR HEALTHCARE LTD TRADING AS KT HEALTHCARE,A4E5D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MEDIPEX LIMITED,A4F4X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CURIAN MEDICAL LTD,A4G6F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE PEPPER FOUNDATION,A4H6O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
QA PLUS LIMITED,A4I1D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
METICAL TECHNOLOGIES LIMITED,A4I6V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE COMPLETE PHYSIO CLINIC,A4J5Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
RESTITUTE,A4K0U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
VOICESAGE (UK) LIMITED,A4K1A,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ACE - ADULT COMMUNITY EDUCATION (WIGAN) LIMITED,A4M4P,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
VITAL SIGNS SOLUTIONS LTD,A4N8K,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PROFILE SECURITY SERVICES LIMITED,A4P6V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ASPIRES LIMITED,A4R6F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
UNIVERSITY OF SUNDERLAND,A4S1Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BETHEL HEALTH AND HEALING NETWORK,A4T2G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE OASIS PARTNERSHIP,A4V3W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CLEMENTINE SERVICES LTD,A4V8Q,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
FERAL FILM AND BROADCAST LTD,A4V9U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
WREN PSYCHOLOGY,A4X7E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EXACTECH UK LTD,A5B3W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
REDQUADRANT LIMITED,A5E3E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
INTEGRA BACK OFFICE SOLUTIONS LTD,A5G3F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MINA MEDICAL LTD,A5H0F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SURREY SEARCH AND RESCUE,A5H5L,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
APEIRON DIGITAL LABS LTD,A5I1S,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SAFE HAVEN BOLTON LTD,A5I1W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HOLISTIC ADHD SOLUTIONS,A5I4J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COMMUNITY AMBULANCE SERVICE LTD,A5O8Y,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CLOUD2T,A5P6T,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CAREER SKILLS TRAINING LTD,A5R2O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
TRUST HEALTH LIMITED,A5S0D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SAPPHIRE EYE CARE,A5U3F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
VITAL BEATS,A5U3L,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
INCUBEATS TECH LTD,A5X7G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE LANGUAGE SHOP LIMITED,A5X7S,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
OPTIMISED CARE LIMITED,A5Y9J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NURTIFY LIMITED,A6C5O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
FINDING RAINBOWS,A6D6T,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MAX COMMUNICATIONS LIMITED,A6E8F,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
FLOW NEUROSCIENCE LTD,A6G7Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CHUNC LIMITED,A6H3G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HILLTOP DIGITAL LAB LTD,A6I2D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEALTHWATCH TRAFFORD,A6J8O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
KINGSHOOD SUPPORT LTD,A6O6G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
WITHNELL SENSORS LIMITED,A6Q2E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
TELADOC HEALTH UK LTD,A6Q8A,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LONDON HAIR TRANSPLANT CLINIC LTD,A6T1Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BELGAUM MEDICAL CENTRE LTD,A6V3O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
QUALITY TRUSTED SOLUTIONS LLP,A6V4U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LICHFIELD AND BURNTWOOD GP NETWORK LTD,A6V5Q,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BLUE SMILE PROJECT,A6X4J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CLINICAL NET LTD,A6X7Q,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ORRI LIMITED,A6X9X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEALTHCARE SOFTWARE SUPPORT CIC,A6Y0N,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HOLMUSK EUROPE,A6Y5D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SOFTWARE LIMITED,A7C0P,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
G4S HEALTH SERVICES (UK LIMITED),A7D6J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
FRESH START FUTURE ENTERPRISES,A7J0U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BRITANNIA VISION LTD,A7N6P,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LETTERASSIST LIMITED,A7P6R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MINDAMIGO LIMITED,A7Q7E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HOME-START BANBURY BICESTER & CHIPPING NORTON,A7U9M,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COLAB EXETER,A7W4N,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ETTORE ENTERPRISES LIMITED,A7W8T,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ENIGMA INTERACTIVE,A7X9W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
P&R CARS,A7Z8O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
GENISYS SOFTWARE LIMITED,A7Z8X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ENERA CONSULTING UK LTD,A8B0T,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE FAMILY PSYCHOLOGIST,A8D1B,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CRAYON LIMITED,A8G9V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
YOUTH UNTROUBLED LTD,A8G9Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EXTERA LIMITED,A8H8G,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
POLARIS CHILDRENS SERVICES,A8I3W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
XCEL HEALTH LTD,A8K1X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
AUGMENTED CONSULTING LTD,A8K4D,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
TECH IN CARE,A8K6I,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MAGENTIQ EYE,A8M5A,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EMERGENCY CARE GATEWAY LTD,A8M7I,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NEUROSPECTRUM LIMITED,A8O4E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SKYN DOCTOR,A8O7R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MONKMEAD CONSULTING LTD,A8P7X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PPL,A8S9V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEARING HELP UK,A8X3E,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
REALTIME ULTRASOUND LTD,A8Z0I,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
XURRENT,A8Z7V,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
AGILE BUSINESS PROCESS UK LIMITED,A9A2Y,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
AURIENT MEDICAL CONSULTING LTD,A9A8U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MINDLER SANDBOX LIMITED,A9B9U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SANDWICH MEDICAL PRACTICE,A9D4X,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
INSIDEOUT MHST 1,A9F1J,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
DOCTOR NOW LIMITED,A9F2O,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CORNWALL MUSIC SERVICE TRUST,A9F4R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SLAM ANALYTICS LIMITED,A9N2W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HOMEOSTASIS HEALTH LTD,A9S4W,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
RSA (ATHENA SURGICAL CENTRE),A9T5Y,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CARESUCCESS LTD,A9T6K,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE MAGSTIM COMPANY LTD,A9U6Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
AUTISM EARLY SUPPORT TRUST LTD,A9V2U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
MEDOWS,A9V3Z,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
KALEIDOSCOPE BROKERAGE,A9V8U,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
OLITOOL LTD,A9W0I,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EXPRESSPARSCORE,A9Y3I,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
DEDICI LTD,A9Y5R,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEALTHWATCH BRIGHTON AND HOVE,A9Y6P,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ALPHA HEALTHGROUP LTD,A9Z7L,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
INTRAHEALTH LTD,AA4,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COMPASS WELLBEING COMMUNITY INTEREST COMPANY,AA5,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE CENTRE FOR REPRODUCTIVE AND GENETIC HEALTH,AA6,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LEYLAND PHYSIOTHERAPY,AA7,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SMART CJS,AA8,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COTTER LAUBIS PARTNERS,AA9,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BOOTS UK LIMITED,AAA,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
RILA PUBLICATIONS LTD,AAC,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PIONEER WOUND HEALING & LYMPHOEDEMA CENTRES,AAD,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SSAFA CARE CIC,AAE,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
360 CARE LTD,AAF,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SOLICITUDE LTD,AAG,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
TETBURY HOSPITAL TRUST LTD,AAH,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ISIS CHIROPRACTIC CENTRES,AAJ,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LONDON CANCER - UCLPARTNERS,AAK,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CANCER CARE,AAL,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PERSONALISED 4 AUTISM,AAM,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ALEXIN HEALTHCARE LTD,AAN,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ACCIPITER LIMITED,AAP,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
GP PRIMARY CHOICE LTD,AAQ,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LIFELINE PROJECT LTD,AAR,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HIDDEN HEARING LIMITED,AAT,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COMMUNITY HEALTH AND EYECARE LIMITED,AAV,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ALLIED HEALTHCARE GROUP,AAW,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SYDENHAM HOUSE MEDICAL PRACTICE,AAX,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HOLBEACH AND EAST ELLOE HOSPITAL TRUST,AAY,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EAST LANCASHIRE MEDICAL SERVICES LTD,AC0,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE HERNE BAY OPHTHALMOLOGY CLINIC,AC2,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NEW HAYESBANK SURGERY CLINICS,AC6,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COBALT HEALTH,AC7,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NORTH EAST COMMUNITY HEALTH NETWORK,AC8,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CUPRIS LTD,AC9,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CUMBRIA MEDICAL SERVICES,ACA,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ARDENS LTD,ACC,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CHARING PRACTICE LTD,ACD,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CHARING MEDICAL PARTNERSHIP,ACE,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CARERS CENTRE NEWCASTLE,ACF,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NEW MEDICAL SYSTEMS LIMITED,ACG,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
WHITSTABLE MEDICAL PRACTICE,ACH,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
DEPENDABILITY LTD,ACJ,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BRISTOL LASER VISION,ACK,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
COASTAL CLINICS,ACL,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
EYE CARE MEDICAL LTD,ACM,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
FORTIUS CLINIC,ACP,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THOMPSON OPTICIANS LTD,ACQ,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
VISION CHECKS LTD,ACR,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ATLAS PHYSIOTHERAPY LTD,ACT,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
KINGSNORTH MEDICAL SERVICES LTD,ACV,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ADVANCE PHYSIOTHERAPY,ACW,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
YORKSHIRE HEALTH PARTNERS LTD,ACX,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BLACKBERRY CLINIC,AD0,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NL GROUP LIMITED,AD6,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
WEST CENTRAL LONDON MIND,AD7,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ENHANCED OPTOMETRY SERVICES LTD.,AD8,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
GREENBROOK HEALTHCARE,AD9,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BAYWATER HEALTHCARE LTD,ADA,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEALTHSPACE SOUTH,ADC,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
VOYAGE CARE,ADD,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THAMES VALLEY AMBULANCE AND PARAMEDIC SERVICE,ADE,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NORTHWEST DIAGNOSTIC & TREATMENT SERVICES,ADF,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BRAINTREE CLINICAL SERVICES LIMITED,ADG,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
WSDM LTD,ADH,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HEADWAY DORSET,ADJ,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
KEMP TOWN HEALTHCARE LTD,ADK,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
REFLEXIVE SOLUTIONS LTD,ADM,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
PRIMARY INTEGRATED COMMUNITY SERVICES LTD,ADN,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
KIMS HOSPITAL,ADP,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HAVERING PRIMARY CARE ENT SERVICE,ADQ,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
CONCORDIA HEALTH GROUP LIMITED,ADT,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BROMSGROVE PHYSIOTHERAPY LTD,ADV,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
BEEHIVE SOLUTIONS LTD,ADW,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
NORTHPOINT WELLBEING LIMITED,ADX,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
AMBULANT PHYSIOTHERAPY LTD,ADY,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
SYMBOL (UK) LIMITED,AE0,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
H M PARTNERSHIP LLP,AE4,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
RESPONSE PHYSIOTHERAPY LTD HQ,AE5,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
HAVERING COMMUNITY GYNAECOLOGY SERVICE,AE7,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
THE SUSSEX BEACON,AE8,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
ACHOR HEALTHCARE LIMITED,AE9,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
OXFORD & BUCKS UROLOGY PARTNERSHIP LTD,AEA,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
LONDON EYE HOSPITAL LTD,AEC,Active,,,,UK,INDEPENDENT SECTOR HEALTHCARE PROVIDER
